participantId,appMode,interactionAt,interactionType,currentScenario,selectedId,recommendationShown
kdSlRblQt77j,practice,1617919657110,init_app,-1,-1,False
kdSlRblQt77j,practice,1617919703372,card_clicked,0,2,False
kdSlRblQt77j,practice,1617919706053,save_selection,0,2,False
kdSlRblQt77j,practice,1617919714471,close_app,-1,-1,False
kdSlRblQt77j,movies,1617919954015,init_app,-1,-1,False
kdSlRblQt77j,movies,1617919992819,card_clicked,0,2,False
kdSlRblQt77j,movies,1617919996664,save_selection,0,2,False
kdSlRblQt77j,movies,1617920019878,continue,0,-1,True
kdSlRblQt77j,movies,1617920036542,card_clicked,1,6,False
kdSlRblQt77j,movies,1617920038268,save_selection,1,6,False
kdSlRblQt77j,movies,1617920074783,continue,1,-1,True
kdSlRblQt77j,movies,1617920078641,card_clicked,2,37,False
kdSlRblQt77j,movies,1617920080376,save_selection,2,37,False
kdSlRblQt77j,movies,1617920090445,continue,2,-1,True
kdSlRblQt77j,movies,1617920100422,card_clicked,3,48,False
kdSlRblQt77j,movies,1617920101894,save_selection,3,48,False
kdSlRblQt77j,movies,1617920113686,continue,3,-1,True
kdSlRblQt77j,movies,1617920119256,card_clicked,4,10,False
kdSlRblQt77j,movies,1617920120522,save_selection,4,10,False
kdSlRblQt77j,movies,1617920135713,continue,4,-1,True
kdSlRblQt77j,movies,1617920142175,card_clicked,5,40,False
kdSlRblQt77j,movies,1617920143846,save_selection,5,40,False
kdSlRblQt77j,movies,1617920155103,close_app,-1,-1,False
kdSlRblQt77j,hiring,1617920200799,init_app,-1,-1,False
kdSlRblQt77j,hiring,1617920218392,card_clicked,0,28,False
kdSlRblQt77j,hiring,1617920219987,save_selection,0,28,False
kdSlRblQt77j,hiring,1617920232410,continue,0,-1,True
kdSlRblQt77j,hiring,1617920241788,card_clicked,1,4,False
kdSlRblQt77j,hiring,1617920243634,save_selection,1,4,False
kdSlRblQt77j,hiring,1617920249710,continue,1,-1,True
kdSlRblQt77j,hiring,1617920282210,card_clicked,2,12,False
kdSlRblQt77j,hiring,1617920283833,save_selection,2,12,False
kdSlRblQt77j,hiring,1617920291553,continue,2,-1,True
kdSlRblQt77j,hiring,1617920296499,card_clicked,3,18,False
kdSlRblQt77j,hiring,1617920297790,save_selection,3,18,False
kdSlRblQt77j,hiring,1617920302148,continue,3,-1,True
kdSlRblQt77j,hiring,1617920326384,card_clicked,4,48,False
kdSlRblQt77j,hiring,1617920327395,save_selection,4,48,False
kdSlRblQt77j,hiring,1617920331353,continue,4,-1,True
kdSlRblQt77j,hiring,1617920341504,card_clicked,5,45,False
kdSlRblQt77j,hiring,1617920343478,save_selection,5,45,False
kdSlRblQt77j,hiring,1617920348969,close_app,-1,-1,False
