ID_APP,CONDITION,HIRING_AI_RECOMMENDATIONS_USEFUL,MOVIES_AI_RECOMMENDATIONS_USEFUL,HIRING_AI_RECOMMENDATIONS_FREQ,MOVIES_AI_RECOMMENDATIONS_FREQ,HIRING_AI_REVIEWS_USEFUL,MOVIES_AI_REVIEWS_USEFUL
1w4I0l6f60JG,BOTH,1,1,1,1,1,1
7UR5LIyKmQiz,BOTH,2,4,2,4,2,2
C9pIAv6kBqr6,BOTH,4,4,4,4,4,4
KK2JFLnabEl9,BOTH,2,2,2,2,1,1
MjcBTpGzYCD9,BOTH,1,1,1,1,1,1
TlJaxdq1DM23,BOTH,3,2,1,1,1,1
38vsTr4jwSxV,BTWN,2,3,4,3,2,3
fHevN3Wo38TA,BTWN,2,2,2,4,1,1
iswbEgz7w3KE,BTWN,2,4,1,3,3,3
kdSlRblQt77j,BTWN,2,2,1,1,2,2
mYSzFPXnkOdd,BTWN,2,2,1,1,1,1
QEpQRLrqn7CX,BTWN,3,2,1,1,3,2
Tcrfm9xpHN59,BTWN,2,4,1,4,2,5
0jjk2LtlRwXu,CTRL,5,5,4,4,,
BDIPCGcOdllu,CTRL,2,4,1,4,,
fimUvwh9JPRU,CTRL,2,4,1,4,,
jHPt9jOOmoXM,CTRL,3,2,1,1,,
nyEXxPkdgP81,CTRL,4,4,4,2,,
WvfHfFBIfx6m,CTRL,1,1,1,2,,
YqgrTs5hzcsj,CTRL,2,2,4,4,,
6BSJnNllOaUQ,WTHN,2,4,2,2,1,1
8wC3YK6TgqRm,WTHN,5,2,1,1,1,1
db2aF23Z9hnH,WTHN,3,3,1,1,2,2
F0xDdtLRrhtQ,WTHN,4,2,3,2,3,3
nRJBgq4Tg2LG,WTHN,1,1,1,1,1,1
YvLb2lkRiYyh,WTHN,3,3,2,3,2,4
